epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,142669,0.86065,0.56216,1.02508,0.88768,0.73618,0.81003,0.60258,0.70566,0.39338,0.91654,0.0066934,0.0066934,0.0066934
169,143512,0.85908,0.56595,1.02798,0.8853,0.73842,0.81041,0.60284,0.70517,0.39305,0.91625,0.0066736,0.0066736,0.0066736
170,144374,0.85829,0.5687,1.0277,0.88587,0.73847,0.8105,0.60309,0.70478,0.39275,0.91601,0.0066538,0.0066538,0.0066538
171,145238,0.86324,0.5703,1.02885,0.88533,0.73954,0.8108,0.60371,0.70432,0.39233,0.91575,0.006634,0.006634,0.006634
172,146095,0.85417,0.56264,1.02702,0.88473,0.74024,0.81082,0.6042,0.70385,0.39192,0.91548,0.0066142,0.0066142,0.0066142
173,146960,0.85212,0.55826,1.02159,0.88476,0.74034,0.81102,0.60457,0.70333,0.39163,0.91523,0.0065944,0.0065944,0.0065944
174,147812,0.84939,0.5579,1.02013,0.88272,0.74182,0.81109,0.60503,0.70283,0.39128,0.91498,0.0065746,0.0065746,0.0065746
175,148656,0.85537,0.56136,1.02456,0.88525,0.74192,0.81157,0.60606,0.70234,0.39094,0.91471,0.0065548,0.0065548,0.0065548
176,149512,0.85326,0.55782,1.02579,0.88341,0.74285,0.81195,0.60645,0.70181,0.39058,0.91443,0.006535,0.006535,0.006535
177,150369,0.85333,0.56065,1.02391,0.88354,0.7434,0.81223,0.60702,0.70132,0.39019,0.91416,0.0065152,0.0065152,0.0065152
178,151222,0.85204,0.55984,1.02424,0.88349,0.74365,0.81276,0.6077,0.70087,0.38976,0.91391,0.0064954,0.0064954,0.0064954
